x,y,temp,PA,t
6.241527,45.19986,2.05,false,1
6.0748606,45.174862,-0.05,false,1
6.1248603,45.06653,0.25,false,1
6.1998606,45.033195,6.15,false,2
6.2498603,45.158195,-1.55,false,2
6.22486,45.07486,-0.75,false,2
6.1831937,45.24986,3.45,false,2
6.066527,45.19986,4.85,false,3
6.09986,45.083195,1.55,false,3
6.0081935,45.258194,4.25,false,3
6.116527,45.133194,-4.35,false,3
6.216527,45.233192,-0.55,false,3
6.0331936,45.27486,2.25,false,4
6.191527,45.041527,2.55,false,4
6.291527,45.02486,0.65,false,4
6.0581937,45.049862,4.65,false,4
6.266527,45.02486,-0.85,false,4
6.216527,45.208195,2.55,false,4
6.1248603,45.291527,-2.55,false,5
6.291527,45.19153,5.25,false,5
6.266527,45.033195,3.55,false,5
6.2748604,45.14153,1.35,false,5
6.191527,45.27486,4.25,false,5
6.141527,45.166527,-4.65,false,5
6.0581937,45.22486,-2.15,false,5
6.1331935,45.041527,7.65,false,5
6.091527,45.26653,4.05,true,6
6.09986,45.241528,-3.25,false,6
6.141527,45.091526,-0.25,false,6
6.0331936,45.26653,1.55,false,6
6.191527,45.291527,3.55,true,6
6.1331935,45.174862,-0.45,false,6
6.22486,45.158195,0.75,false,6
6.1831937,45.183193,-1.45,false,6
6.1998606,45.166527,-0.55,false,6
6.0248604,45.083195,5.95,false,7
6.016527,45.24986,2.45,false,7
6.233194,45.24986,0.55,false,7
6.2581935,45.27486,0.75,false,7
6.0748606,45.108192,1.65,false,7
6.116527,45.09986,-3.35,false,7
6.2831936,45.01653,-1.25,false,7
6.2831936,45.049862,2.45,false,7
6.233194,45.091526,-0.05,false,7
6.233194,45.041527,1.05,false,7
6.233194,45.291527,6.95,false,7
6.291527,45.133194,1.75,false,7
6.09986,45.06653,2.25,false,8
6.091527,45.14986,2.65,true,8
6.116527,45.24986,-1.55,false,8
6.2581935,45.116528,-3.35,false,8
6.1331935,45.183193,0.45,false,8
6.1498604,45.233192,-0.05,false,8
6.1331935,45.033195,6.65,false,8
6.1748605,45.183193,-2.35,false,8
6.191527,45.07486,2.55,false,8
6.2831936,45.12486,-0.75,false,8
6.191527,45.14986,-1.45,false,8
6.0748606,45.091526,1.85,false,8
6.0081935,45.22486,1.05,false,8
6.066527,45.116528,3.75,false,8
6.1748605,45.091526,1.85,false,9
6.266527,45.233192,3.95,false,9
6.0081935,45.133194,3.15,false,9
6.216527,45.008194,-2.85,false,9
6.1665273,45.033195,6.65,false,9
6.1748605,45.14153,-1.75,false,9
6.0248604,45.27486,3.05,false,9
6.066527,45.291527,6.35,false,9
6.208194,45.19153,1.65,false,9
6.016527,45.283195,5.25,false,9
6.1581936,45.24986,-0.75,false,9
6.2498603,45.166527,0.45,false,9
6.0415273,45.158195,7.55,false,9
6.266527,45.174862,2.65,false,9
6.266527,45.166527,1.05,false,9
6.266527,45.14986,-0.15,false,9
6.0581937,45.19986,3.85,false,9
6.108194,45.083195,0.15,false,9
6.016527,45.19153,2.55,false,10
6.1831937,45.27486,3.45,true,10
6.216527,45.12486,-0.35,false,10
6.116527,45.06653,1.45,false,10
6.1665273,45.02486,1.55,false,10
6.1998606,45.19153,1.25,false,10
6.191527,45.241528,0.35,false,10
6.108194,45.091526,-2.35,false,10
6.208194,45.166527,1.35,false,10
6.1665273,45.26653,-0.55,false,10
6.0498605,45.116528,5.55,false,10
6.066527,45.166527,1.25,false,10
6.1665273,45.06653,4.25,true,10
6.22486,45.174862,1.25,false,10
6.266527,45.22486,3.65,false,10
6.1331935,45.14986,-5.85,false,10
6.0581937,45.133194,6.65,false,10
6.0581937,45.241528,-1.55,false,10
6.233194,45.291527,6.95,false,10
6.1498604,45.058193,5.45,false,10
6.1748605,45.09986,2.35,false,10
6.108194,45.12486,-3.65,false,10
6.2498603,45.22486,1.45,false,11
6.066527,45.02486,9.25,false,11
6.22486,45.12486,-0.55,false,11
6.0498605,45.183193,2.35,false,11
6.108194,45.06653,0.95,false,11
6.1665273,45.19986,-1.85,false,11
6.0331936,45.008194,3.45,false,11
6.0331936,45.26653,1.55,false,11
6.108194,45.174862,0.95,false,11
6.116527,45.22486,-0.75,false,11
6.266527,45.283195,1.05,false,11
6.0331936,45.041527,9.75,false,11
6.1498604,45.06653,5.25,true,11
6.1998606,45.241528,-0.35,false,11
6.1998606,45.02486,1.65,false,11
6.0415273,45.233192,-2.05,false,11
6.191527,45.19153,0.05,false,11
6.0081935,45.041527,3.55,true,11
6.241527,45.22486,1.15,false,11
6.2748604,45.27486,2.15,false,11
6.1248603,45.27486,-3.55,false,11
6.0498605,45.26653,4.45,true,11
6.233194,45.22486,2.05,false,11
6.1665273,45.058193,2.35,false,11
6.2831936,45.216526,1.05,false,11
6.1665273,45.258194,-1.25,false,11
6.0081935,45.291527,7.75,false,11
6.066527,45.208195,2.85,false,12
6.0581937,45.041527,7.35,false,12
6.0331936,45.208195,3.05,false,12
6.09986,45.183193,0.65,false,12
6.0581937,45.14986,6.25,false,12
6.0248604,45.09986,7.75,false,12
6.0498605,45.02486,9.55,false,12
6.1498604,45.14153,-4.45,false,12
6.1581936,45.241528,0.35,false,12
6.266527,45.058193,1.55,false,12
6.2831936,45.24986,4.95,false,12
6.083194,45.22486,-0.95,false,12
6.091527,45.208195,0.05,false,12
6.116527,45.27486,-2.55,false,12
6.208194,45.24986,1.15,false,12
6.0331936,45.083195,4.25,false,12
6.208194,45.233192,-0.75,false,12
6.0748606,45.12486,3.75,true,12
6.066527,45.27486,6.25,false,12
6.2831936,45.108192,-3.95,false,12
6.0498605,45.12486,7.15,false,12
6.108194,45.01653,2.05,false,12
6.2831936,45.26653,4.45,false,12
6.0581937,45.183193,-0.85,false,12
6.216527,45.01653,0.95,false,12
6.0081935,45.008194,0.55,false,12
6.191527,45.133194,-0.15,false,12
6.09986,45.291527,2.85,false,12
6.1581936,45.108192,0.65,false,12
6.0415273,45.06653,7.65,false,12
6.116527,45.116528,-5.25,false,12
6.0748606,45.02486,8.45,false,12
6.0248604,45.27486,3.05,false,12
6.208194,45.01653,-0.85,false,13
6.1331935,45.291527,-3.35,false,13
6.116527,45.158195,-1.25,false,13
6.2498603,45.12486,-2.65,false,13
6.0581937,45.14153,7.45,false,13
6.1998606,45.008194,-4.75,false,13
6.0331936,45.241528,-0.15,false,13
6.2498603,45.033195,4.95,false,13
6.0748606,45.041527,4.35,true,13
6.0581937,45.02486,9.65,false,13
6.1998606,45.02486,1.65,false,13
6.1998606,45.14153,0.75,false,13
6.1748605,45.166527,-3.15,false,13
6.1581936,45.158195,-4.45,false,13
6.016527,45.07486,9.55,false,13
6.241527,45.008194,-4.55,false,13
6.216527,45.233192,-0.55,false,13
6.0498605,45.166527,3.25,false,13
6.1248603,45.033195,6.45,false,13
6.1748605,45.083195,2.05,false,13
6.191527,45.133194,-0.15,false,13
6.208194,45.116528,-0.95,false,13
6.141527,45.158195,-6.35,false,13
6.1831937,45.058193,1.25,false,13
6.2581935,45.216526,2.45,false,13
6.216527,45.14986,-0.15,false,13
6.016527,45.033195,4.05,false,13
6.191527,45.041527,2.55,false,13
6.1331935,45.27486,-2.85,false,13
6.083194,45.26653,4.05,true,13
6.291527,45.008194,-3.75,false,13
6.1248603,45.116528,-5.95,false,13
6.1748605,45.283195,0.35,false,13
6.291527,45.19986,3.85,false,13
6.191527,45.06653,1.35,false,13
6.1748605,45.258194,0.45,false,13
6.066527,45.14986,6.75,false,13
6.1581936,45.166527,-4.45,false,13
6.116527,45.008194,3.05,true,13
6.091527,45.033195,7.75,false,13
6.233194,45.14986,-0.85,false,14
6.0581937,45.174862,-0.45,false,14
6.09986,45.19153,0.45,false,14
6.116527,45.233192,-2.45,false,14
6.116527,45.01653,3.45,false,14
6.1331935,45.233192,-1.55,false,14
6.141527,45.058193,5.15,false,14
6.233194,45.216526,4.05,true,14
6.233194,45.083195,-0.65,false,14
6.1665273,45.216526,-0.45,false,14
6.116527,45.14986,-2.45,false,14
6.0331936,45.116528,8.35,false,14
6.241527,45.116528,-4.55,false,14
6.191527,45.083195,2.45,false,14
6.233194,45.258194,1.25,false,14
6.233194,45.049862,-1.05,false,14
6.291527,45.058193,0.95,false,14
6.0248604,45.02486,3.15,true,14
6.233194,45.166527,0.05,false,14
6.233194,45.291527,6.95,false,14
6.1665273,45.26653,-0.55,false,14
6.233194,45.24986,0.55,false,14
6.0415273,45.166527,6.45,false,14
6.091527,45.14986,2.65,true,14
6.066527,45.091526,2.15,false,14
6.291527,45.02486,0.65,false,14
6.1748605,45.09986,2.35,false,14
6.016527,45.008194,0.75,false,14
6.0081935,45.258194,4.25,false,14
6.1831937,45.24986,3.45,false,14
6.1331935,45.02486,4.65,true,14
6.0331936,45.133194,7.85,false,14
6.2498603,45.12486,-2.65,false,14
6.0415273,45.24986,2.45,false,14
6.1248603,45.116528,-5.95,false,14
6.2498603,45.033195,4.95,false,14
6.1998606,45.06653,-0.25,false,14
6.191527,45.22486,0.65,false,14
6.291527,45.108192,-3.15,false,14
6.22486,45.158195,0.75,false,14
6.2581935,45.058193,-0.45,false,14
6.1581936,45.06653,4.95,true,14
6.2831936,45.24986,4.95,false,14
6.1248603,45.108192,-4.75,false,14
6.291527,45.19153,5.25,false,14
6.1665273,45.091526,3.65,true,14
6.0331936,45.158195,6.75,false,14
6.141527,45.26653,-1.25,false,14
6.09986,45.19986,3.25,true,14
6.1998606,45.258194,3.65,true,15
6.241527,45.208195,3.75,false,15
6.0331936,45.174862,7.25,false,15
6.241527,45.108192,-2.75,false,15
6.2581935,45.108192,-2.05,false,15
6.2581935,45.174862,1.95,false,15
6.1248603,45.116528,-5.95,false,15
6.0498605,45.033195,9.65,false,15
6.066527,45.14986,6.75,false,15
6.1248603,45.008194,3.35,true,15
6.0581937,45.174862,-0.45,false,15
6.1665273,45.133194,-1.45,false,15
6.1665273,45.033195,6.65,false,15
6.216527,45.01653,0.95,false,15
6.1498604,45.091526,2.15,false,15
6.291527,45.116528,-1.85,false,15
6.291527,45.058193,0.95,false,15
6.22486,45.241528,0.15,false,15
6.2581935,45.083195,1.35,false,15
6.016527,45.183193,3.15,false,15
6.0498605,45.19986,4.65,true,15
6.091527,45.208195,0.05,false,15
6.208194,45.133194,0.65,false,15
6.1998606,45.26653,4.95,false,15
6.1831937,45.09986,1.15,false,15
6.241527,45.241528,2.15,false,15
6.1331935,45.091526,-1.85,false,15
6.22486,45.27486,4.15,true,15
6.216527,45.24986,0.75,false,15
6.266527,45.208195,3.65,true,15
6.216527,45.06653,-0.15,false,15
6.066527,45.22486,-0.75,false,15
6.22486,45.283195,5.85,false,15
6.1998606,45.108192,-0.85,false,15
6.0331936,45.033195,8.35,false,15
6.2748604,45.166527,3.65,false,15
6.141527,45.09986,-1.75,false,15
6.141527,45.233192,-0.65,false,15
6.1998606,45.008194,-4.75,false,15
6.1665273,45.14153,-2.95,false,15
6.0081935,45.241528,2.75,true,15
6.233194,45.26653,3.05,false,15
6.1498604,45.058193,5.45,false,15
6.1748605,45.083195,2.05,false,15
6.216527,45.12486,-0.35,false,15
6.066527,45.174862,-0.95,false,15
6.2831936,45.008194,-2.65,false,15
6.191527,45.24986,3.05,false,15
6.208194,45.06653,-0.15,false,15
6.116527,45.241528,-3.15,false,15
6.083194,45.19153,1.65,false,15
6.216527,45.22486,1.85,false,15
6.1248603,45.07486,1.85,false,15
6.0081935,45.049862,5.55,false,15
6.1665273,45.174862,-3.15,false,15
6.2498603,45.19986,3.95,false,15
6.09986,45.241528,-3.25,false,15
6.09986,45.166527,3.75,true,15
6.1998606,45.208195,0.65,false,15
6.0081935,45.108192,9.65,false,15
6.1998606,45.01653,-2.65,false,16
6.2831936,45.216526,1.05,false,16
6.116527,45.041527,7.65,false,16
6.1831937,45.158195,-2.95,false,16
6.083194,45.108192,0.55,false,16
6.266527,45.174862,2.65,false,16
6.116527,45.09986,-3.35,false,16
6.266527,45.241528,4.35,true,16
6.233194,45.291527,6.95,false,16
6.191527,45.22486,0.65,false,16
6.208194,45.27486,5.75,false,16
6.083194,45.06653,1.05,false,16
6.0331936,45.174862,7.25,false,16
6.0331936,45.158195,6.75,false,16
6.1831937,45.174862,-1.95,false,16
6.1748605,45.233192,1.45,false,16
6.1248603,45.083195,0.85,false,16
6.0081935,45.133194,3.15,false,16
6.2581935,45.208195,4.15,true,16
6.1665273,45.01653,-0.35,false,16
6.1665273,45.166527,-3.45,false,16
6.1831937,45.133194,-0.75,false,16
6.233194,45.083195,-0.65,false,16
6.1831937,45.166527,-3.15,false,16
6.108194,45.049862,4.65,false,16
6.216527,45.27486,4.05,true,16
